name,email,branch,phoneNo,dob,fatherName,motherName,rollNo,slotNumber
Lizzie Matthews,lizzie.matthews@student.edu,AE,9878326852,2001-06-17,Richard Matthews,Mary Matthews,2023ME1022,2
Alfred Irons,alfred.irons@yahoo.com,IT,9808150818,2007-10-17,Joe Irons,Pamela Irons,2020ECE1023,2
Ernesto Atchinson,ernesto.atchinson@gmail.com,IT,9822345032,2004-03-08,Jeff Atchinson,Stephanie Atchinson,2022CE1024,2
Sean Rider,sean.rider@yahoo.com,AE,9863749215,2006-11-09,Jason Rider,Shari Rider,2024ECE1025,2
Joyce Groome,joyce.groome@mail.com,IT,9792846145,2003-05-25,Virgil Groome,Priscilla Groome,2020ECE1026,2
Murray New,murray.new@mail.com,ECE,9802858777,2000-04-08,Arthur New,Brenda New,2021ME1027,2
Leonard Freeman,leonard.freeman@mail.com,ECE,9795719273,2005-03-11,Charlie Freeman,Mildred Freeman,2021EE1028,2
Venessa Latham,venessa.latham@outlook.com,CH,9862320294,2006-07-24,Jonathan Latham,Louise Latham,2024ECE1029,2
Charles Harper,charles.harper@mail.com,CSE,9809716556,2005-07-25,Ralph Harper,Vivian Harper,2024CSE1030,2
Randolph Cavanaugh,randolph.cavanaugh@mail.com,IT,9793202958,2003-05-20,Andrew Cavanaugh,Rachel Cavanaugh,2024ME1031,1
Phillip Johnson,phillip.johnson@outlook.com,IT,9836953088,2008-12-03,Walter Johnson,Hazel Johnson,2023CE1032,1
Matthew Brown,matthew.brown@mail.com,EE,9812721003,2002-01-15,Rodolfo Brown,Antonia Brown,2022ECE1033,2
Jewel Conyers,jewel.conyers@yahoo.com,ECE,9839645767,2006-03-02,Harold Conyers,Teresa Conyers,2020ECE1034,1
Carol Huskey,carol.huskey@yahoo.com,IT,9876270804,2001-12-10,Danny Huskey,Lois Huskey,2021CE1035,2
Martha Derrico,martha.derrico@gmail.com,IT,9820588589,2004-04-09,Allen Derrico,Kimberly Derrico,2021ECE1036,1
Terence Perry,terence.perry@student.edu,ECE,9792790116,2007-07-23,Glen Perry,Jewel Perry,2023EE1037,2
Lorraine Castorena,lorraine.castorena@gmail.com,ECE,9801016783,2007-09-14,David Castorena,Annita Castorena,2022EE1038,2
Mark Mcadam,mark.mcadam@mail.com,EE,9826291883,2004-05-12,Seth Mcadam,Marlene Mcadam,2021CSE1039,2
Virginia Mcdonald,virginia.mcdonald@student.edu,ME,9798210071,2005-03-29,Ryan Mcdonald,Eileen Mcdonald,2021CE1040,1
Jerry Senn,jerry.senn@yahoo.com,AE,9824333708,2000-02-08,William Senn,Rosemary Senn,2020ME1041,1
Gilberto Gratz,gilberto.gratz@yahoo.com,EE,9856072892,2000-04-18,Raymond Gratz,Helen Gratz,2020CSE1042,1
Stephanie Christofferso,stephanie.christofferso@student.edu,CSE,9817610685,2006-12-17,Michael Christofferso,Kathryn Christofferso,2024CSE1043,1
James Mosholder,james.mosholder@student.edu,EE,9846913751,2000-12-22,Kyle Mosholder,Ellyn Mosholder,2024EE1044,2
Juan Poreda,juan.poreda@gmail.com,ECE,9829635213,2000-01-29,Salvatore Poreda,Mildred Poreda,2023ECE1045,2
Ethel Davis,ethel.davis@student.edu,IT,9844701234,2000-05-17,Stephen Davis,Sonya Davis,2022ECE1046,1
Phil Smith,phil.smith@outlook.com,EE,9814904922,2004-05-28,Kenneth Smith,Pamela Smith,2023CSE1047,1
James Doi,james.doi@student.edu,CH,9780404846,2000-11-06,James Doi,Karen Doi,2021CE1048,2
Diana Ingram,diana.ingram@yahoo.com,ME,9822563123,2007-12-29,Curtis Ingram,Nikki Ingram,2022ME1049,2
Kevin Burns,kevin.burns@mail.com,EE,9829359976,2008-02-07,Jon Burns,Mary Burns,2020CE1050,1
Lorraine Martin,lorraine.martin@student.edu,AE,9826301900,2001-04-04,Raul Martin,Kathleen Martin,2020CSE1051,2
Frederic Parker,frederic.parker@gmail.com,CH,9818106372,2004-09-06,Derrick Parker,Elizabeth Parker,2022CE1052,1
Sheila Brittain,sheila.brittain@mail.com,ECE,9810824298,2008-10-19,David Brittain,Patsy Brittain,2021EE1053,2
Jennifer Cookson,jennifer.cookson@gmail.com,EE,9837843922,2005-04-03,William Cookson,Mary Cookson,2023EE1054,1
Gregory Bisarra,gregory.bisarra@yahoo.com,CSE,9861408024,2003-11-03,Joseph Bisarra,Katrina Bisarra,2020ECE1055,2
Carol Mcvea,carol.mcvea@yahoo.com,EE,9858889943,2008-09-22,Leonard Mcvea,Marcia Mcvea,2021EE1056,2
Cheryl Hirata,cheryl.hirata@student.edu,EE,9783725571,2001-03-01,Fernando Hirata,Gina Hirata,2021ME1057,2
Gracie Fair,gracie.fair@mail.com,CE,9817858445,2008-09-25,Michael Fair,Kim Fair,2020CSE1058,1
Hannah Moss,hannah.moss@yahoo.com,IT,9872187132,2005-05-18,Ernest Moss,Maria Moss,2022ECE1059,2
Jerome White,jerome.white@student.edu,IT,9841155014,2002-08-19,Alvaro White,Lisa White,2024CSE1060,1
David Ansell,david.ansell@gmail.com,EE,9833496713,2004-04-28,Earl Ansell,April Ansell,2024ECE1061,2
Jenifer Droke,jenifer.droke@mail.com,EE,9804716394,2006-01-14,William Droke,Marilyn Droke,2024ME1062,2
Sandra Spiney,sandra.spiney@yahoo.com,EE,9864868525,2007-06-07,Richard Spiney,Lavern Spiney,2022ME1063,1
Mark Seymour,mark.seymour@yahoo.com,EE,9861057531,2006-10-29,William Seymour,Marjorie Seymour,2021CE1064,2
Patricia Lemon,patricia.lemon@mail.com,CH,9813203756,2000-06-30,John Lemon,Betty Lemon,2024ME1065,2
Laura Barnett,laura.barnett@outlook.com,ME,9804286608,2005-04-18,Daryl Barnett,Hope Barnett,2021ECE1066,1
Richard Fowler,richard.fowler@outlook.com,AE,9820768549,2005-05-18,James Fowler,Janice Fowler,2023CE1067,1
Winifred Ricardo,winifred.ricardo@mail.com,ECE,9861176979,2005-11-05,Benjamin Ricardo,Angela Ricardo,2023ME1068,2
Claudia Totty,claudia.totty@mail.com,AE,9812044122,2001-12-27,Mark Totty,Charity Totty,2020CSE1069,2
Diane White,diane.white@mail.com,CSE,9812804230,2001-09-27,Pedro White,Leslie White,2020ECE1070,1
Dan Moore,dan.moore@mail.com,CSE,9841083550,2006-11-20,Charles Moore,Karen Moore,2022CSE1071,2
Spencer Muncy,spencer.muncy@yahoo.com,ECE,9800005685,2008-03-29,Dustin Muncy,Judith Muncy,2023CSE1072,2
Kenneth Sickler,kenneth.sickler@gmail.com,EE,9827813268,2000-12-11,Luther Sickler,Barbara Sickler,2023EE1073,2
Elsa Farry,elsa.farry@mail.com,IT,9806231412,2000-05-29,James Farry,Bettie Farry,2021CSE1074,1
Luke Conner,luke.conner@gmail.com,AE,9829851934,2005-12-29,John Conner,Bella Conner,2022CSE1075,2
Martin Henig,martin.henig@yahoo.com,ME,9872664825,2007-06-05,Eugene Henig,Josefina Henig,2023CSE1076,2
Fred Cullens,fred.cullens@mail.com,ME,9865249320,2004-01-22,Jacob Cullens,Mable Cullens,2024CSE1077,1
Valerie Moczo,valerie.moczo@yahoo.com,CSE,9834813400,2006-08-20,Hector Moczo,Lindsey Moczo,2021CSE1078,1
Luis Fraley,luis.fraley@gmail.com,CE,9799335097,2005-11-14,Louis Fraley,Cora Fraley,2021ME1079,1
Neil Carideo,neil.carideo@yahoo.com,EE,9789365546,2007-10-29,James Carideo,Megan Carideo,2020ME1080,1
Clayton Kahl,clayton.kahl@gmail.com,ECE,9823070535,2000-01-24,Charles Kahl,Rebecca Kahl,2024ECE1081,1
Neil Kutner,neil.kutner@gmail.com,CSE,9802448540,2003-06-09,Robert Kutner,Debra Kutner,2020EE1082,1
Paul Pollard,paul.pollard@yahoo.com,ECE,9821592770,2003-10-25,Phillip Pollard,Bethany Pollard,2020CSE1083,1
Gloria Sloane,gloria.sloane@gmail.com,CSE,9839155545,2004-10-22,Frank Sloane,Victoria Sloane,2024CSE1084,1
Rhonda Acevedo,rhonda.acevedo@outlook.com,CH,9802894498,2008-07-12,Matthew Acevedo,Tammy Acevedo,2021EE1085,2
Milton Smith,milton.smith@gmail.com,CSE,9872751334,2000-05-09,Craig Smith,Kristen Smith,2023ME1086,1
Jeremy Collins,jeremy.collins@mail.com,ECE,9816996692,2008-11-24,Kevin Collins,Julie Collins,2022ME1087,2
Kenton Brimmer,kenton.brimmer@yahoo.com,AE,9859732288,2003-11-30,Gerald Brimmer,Veronica Brimmer,2022CSE1088,1
Tommy Roseman,tommy.roseman@yahoo.com,ECE,9826988557,2000-06-22,Rex Roseman,Sue Roseman,2022EE1089,2
Patricia Pool,patricia.pool@mail.com,EE,9839559525,2001-01-17,Jeremy Pool,Doris Pool,2022CSE1090,2
Marie Cahill,marie.cahill@gmail.com,EE,9790261114,2000-11-29,Ryan Cahill,Stephanie Cahill,2024ME1091,2
Claude Wright,claude.wright@yahoo.com,ECE,9837674237,2007-04-15,Paul Wright,Jeanine Wright,2020CSE1092,2
Joseph Stidham,joseph.stidham@outlook.com,ME,9851610989,2003-07-05,Steven Stidham,Barbara Stidham,2023CSE1093,1
John Burt,john.burt@student.edu,AE,9862676411,2005-12-20,Jan Burt,Suk Burt,2022CE1094,2
Nelson Turley,nelson.turley@student.edu,ECE,9851447118,2007-06-18,Joel Turley,Donna Turley,2022CSE1095,1
Mary Livingstone,mary.livingstone@outlook.com,EE,9875505087,2002-06-21,Walter Livingstone,Maria Livingstone,2023EE1096,2
Judy Duesterhaus,judy.duesterhaus@outlook.com,AE,9826418182,2008-09-24,Sean Duesterhaus,Jessica Duesterhaus,2020CE1097,2
Tiffany Anderson,tiffany.anderson@student.edu,CSE,9825709506,2004-10-16,Donald Anderson,Annie Anderson,2020ME1098,2
Janet Knight,janet.knight@yahoo.com,CSE,9834509507,2007-05-06,William Knight,Jacquie Knight,2024CE1099,1
Milton Frazier,milton.frazier@gmail.com,IT,9818069409,2001-07-05,Thomas Frazier,Carla Frazier,2020ECE1100,1
Jennifer Anderson,jennifer.anderson@gmail.com,CH,9801348840,2007-06-26,Alex Anderson,Nadia Anderson,2023CSE1101,1
April Parry,april.parry@yahoo.com,ME,9855271024,2006-07-05,Jacob Parry,Rebecca Parry,2020ME1102,2
Velma Click,velma.click@yahoo.com,CSE,9837329132,2006-06-16,Quentin Click,Marjorie Click,2022ME1103,2
Jessica Whitacre,jessica.whitacre@student.edu,IT,9811343046,2005-04-07,Roy Whitacre,Ruth Whitacre,2024CSE1104,2
Reyes Haralson,reyes.haralson@mail.com,EE,9849046593,2007-12-13,Owen Haralson,Sophie Haralson,2021ME1105,1
Deanna York,deanna.york@outlook.com,EE,9800630966,2004-01-12,Jack York,Patricia York,2021ECE1106,1
Linda Robertson,linda.robertson@outlook.com,CH,9847264006,2005-02-03,James Robertson,Therese Robertson,2021CE1107,1
Mark Whitney,mark.whitney@student.edu,CH,9847105245,2007-11-04,William Whitney,Jane Whitney,2024CSE1108,2
Merle Santiago,merle.santiago@mail.com,CSE,9830617584,2006-10-25,James Santiago,Carol Santiago,2022CE1109,2
Jim Lilly,jim.lilly@gmail.com,EE,9845300368,2001-08-14,Cesar Lilly,Kellie Lilly,2024EE1110,2
Sabrina Flores,sabrina.flores@outlook.com,IT,9791171658,2006-09-08,Nick Flores,Susan Flores,2020CSE1111,2
Stephen Johnson,stephen.johnson@yahoo.com,IT,9792385868,2007-04-24,Stephen Johnson,Frances Johnson,2023CSE1112,1
Fawn May,fawn.may@mail.com,AE,9869605670,2001-08-30,Walter May,Joycelyn May,2020CSE1113,2
Wendi Warner,wendi.warner@mail.com,EE,9809113243,2005-10-14,Matthew Warner,Irene Warner,2021EE1114,2
Luella Mcaferty,luella.mcaferty@mail.com,CSE,9872426863,2000-01-17,David Mcaferty,Amanda Mcaferty,2023CE1115,1
Roy Jackson,roy.jackson@mail.com,AE,9868758640,2004-07-01,Thomas Jackson,Flor Jackson,2023CE1116,2
David Cornett,david.cornett@gmail.com,IT,9799889771,2004-08-31,Fernando Cornett,Estella Cornett,2024CSE1117,1
Edward Taylor,edward.taylor@outlook.com,ECE,9878139871,2004-04-27,Jason Taylor,Karen Taylor,2023CSE1118,1
Dean Combs,dean.combs@mail.com,IT,9815310398,2008-07-20,Matthew Combs,Nancy Combs,2023ECE1119,1
Mary Woods,mary.woods@yahoo.com,ME,9815372797,2000-03-01,Joshua Woods,Stella Woods,2023EE1120,1
Todd Smith,todd.smith@student.edu,EE,9780434592,2008-02-02,Donald Smith,Maryanne Smith,2022ME1121,1
Donna Vickers,donna.vickers@gmail.com,AE,9826517834,2003-11-25,Andrew Vickers,Tina Vickers,2022EE1122,2
Elia Mccroy,elia.mccroy@outlook.com,ECE,9780228288,2002-05-25,Allen Mccroy,Sharon Mccroy,2024CE1123,1
Douglas Hall,douglas.hall@outlook.com,EE,9832179164,2005-03-09,Jeffrey Hall,Sarah Hall,2022CE1124,1
Thomas Jimenez,thomas.jimenez@yahoo.com,AE,9835144805,2007-01-25,Thomas Jimenez,Elizabeth Jimenez,2021CSE1125,2
Henry Druvenga,henry.druvenga@yahoo.com,ME,9790359972,2002-07-27,Garry Druvenga,Tammy Druvenga,2023EE1126,1
Amanda Saylor,amanda.saylor@student.edu,EE,9805314754,2002-12-06,Robert Saylor,Kimberly Saylor,2023ME1127,2
Pauline Jones,pauline.jones@gmail.com,CE,9785746804,2003-02-03,Junior Jones,Amanda Jones,2022ECE1128,2
Francis Barrett,francis.barrett@mail.com,IT,9843342170,2003-09-18,Scott Barrett,Anita Barrett,2020CSE1129,2
Gene Morita,gene.morita@student.edu,AE,9856511576,2002-11-13,John Morita,Joyce Morita,2022ME1130,2
Nicolasa Johnson,nicolasa.johnson@gmail.com,CE,9851878186,2003-05-01,Richard Johnson,Madelyn Johnson,2020ME1131,1
Janice Rauer,janice.rauer@gmail.com,AE,9863719770,2003-11-29,Dennis Rauer,Dorothy Rauer,2021EE1132,2
Frank Green,frank.green@mail.com,AE,9832349609,2000-07-04,Alex Green,Catherine Green,2023ECE1133,2
Callie Burcham,callie.burcham@yahoo.com,ME,9804229477,2006-06-27,Joseph Burcham,Elizabeth Burcham,2024ME1134,2
Wayne Olson,wayne.olson@gmail.com,EE,9837007287,2000-09-21,Renaldo Olson,Lura Olson,2023CE1135,2
Andreas Deleon,andreas.deleon@mail.com,CH,9862316246,2006-06-06,Henry Deleon,Janine Deleon,2021CE1136,1
Andrew Wilson,andrew.wilson@outlook.com,EE,9812189109,2003-03-14,Danny Wilson,Mable Wilson,2021CSE1137,2
Kimberly Long,kimberly.long@mail.com,ECE,9823897090,2008-07-11,Peter Long,Celina Long,2021CE1138,1
Tommy Avila,tommy.avila@outlook.com,CH,9861478985,2007-01-21,Raymond Avila,Regina Avila,2022CE1139,1
Tamera Killian,tamera.killian@outlook.com,IT,9802607241,2005-10-15,Glenn Killian,Adrian Killian,2024CSE1140,2
Margaret Nissen,margaret.nissen@yahoo.com,CH,9799612606,2007-12-15,Thomas Nissen,April Nissen,2022ME1141,1
Ted Groves,ted.groves@student.edu,CE,9815928912,2007-06-20,Peter Groves,Kimberly Groves,2021EE1142,2
Donna Arocho,donna.arocho@outlook.com,CE,9783537606,2004-02-04,George Arocho,Josephine Arocho,2021EE1143,1
Rhonda Fleming,rhonda.fleming@mail.com,CH,9874727703,2000-12-23,Guadalupe Fleming,Gladys Fleming,2020ECE1144,2
Kevin Kraham,kevin.kraham@student.edu,AE,9787004730,2008-03-30,Lane Kraham,Amber Kraham,2022ME1145,2
Jason Ellis,jason.ellis@mail.com,IT,9859394947,2005-08-14,Charles Ellis,Heidi Ellis,2022CSE1146,1
Lloyd Hairfield,lloyd.hairfield@student.edu,IT,9802604384,2005-05-28,Jesse Hairfield,Nadine Hairfield,2021ECE1147,2
Joan May,joan.may@outlook.com,IT,9786185743,2006-07-01,Edwin May,Kerrie May,2022ME1148,1
Doreen Chacon,doreen.chacon@yahoo.com,EE,9821491109,2005-03-10,Jonathan Chacon,Adele Chacon,2024CE1149,1
Stanley Ponce,stanley.ponce@gmail.com,EE,9781405844,2000-11-20,Walter Ponce,Janet Ponce,2020ME1150,2
Aracely Dickman,aracely.dickman@student.edu,AE,9826318389,2008-09-12,Richard Dickman,Edith Dickman,2021CE1151,1
Kimberly Yeakel,kimberly.yeakel@student.edu,IT,9806315834,2000-02-24,Ronnie Yeakel,Denise Yeakel,2023CE1152,2
Larry Jones,larry.jones@outlook.com,CH,9830475422,2006-12-07,Edward Jones,Nichole Jones,2023ECE1153,2
Jose Chambers,jose.chambers@outlook.com,ECE,9786377175,2001-06-25,Mike Chambers,Connie Chambers,2024ECE1154,1
Edward Davis,edward.davis@mail.com,EE,9862489262,2007-10-07,Robert Davis,Shannon Davis,2020ME1155,1
Nancy Hornsby,nancy.hornsby@outlook.com,ME,9797450046,2001-05-21,Christopher Hornsby,Emily Hornsby,2020CE1156,2
Ronna Fernandez,ronna.fernandez@yahoo.com,CE,9780782240,2001-10-04,Robert Fernandez,Laura Fernandez,2022EE1157,2
Scott Johnson,scott.johnson@gmail.com,EE,9801900731,2004-05-03,Dwight Johnson,Frances Johnson,2022ECE1158,1
Deedra Hutchens,deedra.hutchens@gmail.com,EE,9849587125,2003-07-07,Max Hutchens,Karen Hutchens,2021ME1159,2
Charles Toms,charles.toms@student.edu,CH,9823346251,2002-06-29,Eli Toms,Ana Toms,2020EE1160,2
Brandy Shiner,brandy.shiner@student.edu,CSE,9820261317,2005-10-12,John Shiner,Roxanne Shiner,2024EE1161,2
Kathryn Gibbons,kathryn.gibbons@outlook.com,CH,9828363451,2002-10-06,Anthony Gibbons,Kathy Gibbons,2020CE1162,2
Olivia Gibbs,olivia.gibbs@mail.com,CE,9876287020,2003-07-02,Jeremy Gibbs,Marion Gibbs,2020EE1163,2
Vincent Colony,vincent.colony@outlook.com,ECE,9879004261,2001-01-10,William Colony,Carrie Colony,2020CSE1164,2
Zachery Poole,zachery.poole@outlook.com,EE,9784297991,2004-07-10,Joseph Poole,James Poole,2022ME1165,1
Robert Farris,robert.farris@yahoo.com,CH,9829779697,2001-10-20,Benjamin Farris,Jimmie Farris,2020EE1166,1
Carolyn Overbay,carolyn.overbay@student.edu,AE,9800538013,2001-03-15,Wilmer Overbay,Carlene Overbay,2024EE1167,2
Joseph Derossett,joseph.derossett@yahoo.com,CE,9841818317,2002-10-09,Paul Derossett,Amy Derossett,2024CE1168,2
Wade Mccullar,wade.mccullar@mail.com,CE,9847442923,2000-11-06,Gerald Mccullar,Randi Mccullar,2020EE1169,1
Paul George,paul.george@outlook.com,CSE,9837501197,2004-04-17,Larry George,Stephanie George,2023CSE1170,2
Annette Baptiste,annette.baptiste@yahoo.com,IT,9794863389,2000-09-01,Rogelio Baptiste,Beth Baptiste,2024ME1171,1
Richard Herbert,richard.herbert@gmail.com,EE,9831852117,2002-12-15,Darrell Herbert,Virginia Herbert,2023CSE1172,1
Timothy Lowell,timothy.lowell@mail.com,IT,9879574942,2002-06-24,Earl Lowell,Tracey Lowell,2021ECE1173,2
Randy Birdwell,randy.birdwell@mail.com,EE,9845440191,2005-08-08,Frank Birdwell,Kelsey Birdwell,2022CSE1174,2
David Kowalski,david.kowalski@student.edu,EE,9876018436,2001-07-19,Donald Kowalski,Antonia Kowalski,2020ECE1175,2
Frank Mora,frank.mora@student.edu,AE,9836209462,2007-07-15,Frank Mora,Myrtle Mora,2024CSE1176,1
Candice Beaty,candice.beaty@mail.com,AE,9848859550,2005-12-27,Caleb Beaty,Lai Beaty,2022CSE1177,1
Erin Jurasek,erin.jurasek@outlook.com,ECE,9797362641,2006-05-02,Harold Jurasek,Margaret Jurasek,2024EE1178,2
James Stills,james.stills@yahoo.com,ME,9875027670,2004-02-17,Brian Stills,Teresa Stills,2021CSE1179,1
Johnny Ly,johnny.ly@outlook.com,EE,9829436264,2000-07-12,James Ly,Deborah Ly,2024CE1180,1
Raul Mckinney,raul.mckinney@student.edu,EE,9820897669,2000-02-19,Royal Mckinney,Mamie Mckinney,2020ECE1181,1
Johnny Rodriguez,johnny.rodriguez@outlook.com,ECE,9787472468,2001-03-18,James Rodriguez,Brenda Rodriguez,2023ECE1182,2
Consuelo Himenez,consuelo.himenez@gmail.com,IT,9869799947,2004-03-28,Rodney Himenez,Donna Himenez,2021CE1183,2
Tracy Sharon,tracy.sharon@outlook.com,CH,9876736717,2002-01-18,Mitchell Sharon,Lois Sharon,2022ECE1184,1
James Zimmerman,james.zimmerman@student.edu,CE,9806852338,2008-09-26,Jay Zimmerman,Shannon Zimmerman,2020CE1185,1
Brooks Duval,brooks.duval@student.edu,ECE,9794933299,2004-11-02,Andrew Duval,Ann Duval,2024ECE1186,1
Linda Troupe,linda.troupe@outlook.com,EE,9801418553,2002-04-29,William Troupe,Tonia Troupe,2023CE1187,2
Edward Gaillard,edward.gaillard@mail.com,CSE,9859321325,2000-01-28,Michael Gaillard,Gracie Gaillard,2020EE1188,1
Megan Mailloux,megan.mailloux@student.edu,IT,9868516742,2000-06-28,Stephan Mailloux,Kaitlin Mailloux,2024EE1189,2
Esperanza Wells,esperanza.wells@gmail.com,AE,9816518028,2005-08-20,Douglas Wells,Geneva Wells,2023ME1190,1
Marty Evans,marty.evans@outlook.com,CE,9839762461,2001-05-13,Jose Evans,Sandra Evans,2021ECE1191,1
Leslie Davis,leslie.davis@outlook.com,ECE,9817942005,2001-10-13,Brendan Davis,Billie Davis,2023ECE1192,1
John Spooner,john.spooner@yahoo.com,ECE,9798704725,2004-06-25,Matthew Spooner,Mary Spooner,2021ME1193,1
Mary Smith,mary.smith@student.edu,EE,9877370123,2004-07-11,Enrique Smith,Lesley Smith,2020CSE1194,2
Jose Martin,jose.martin@outlook.com,EE,9793187107,2002-05-18,Robert Martin,Erin Martin,2021EE1195,1
Rosemary Sumner,rosemary.sumner@student.edu,CH,9792305989,2008-06-30,Timothy Sumner,Sylvia Sumner,2022ECE1196,2
Randy Davis,randy.davis@student.edu,CSE,9858568526,2007-07-26,Kenneth Davis,Catherine Davis,2020ME1197,1
Jessica Berube,jessica.berube@yahoo.com,ECE,9790678301,2007-03-29,Johnny Berube,Annie Berube,2020ME1198,2
Kenneth Murray,kenneth.murray@gmail.com,CH,9786231840,2000-12-25,Karl Murray,Mary Murray,2024EE1199,1
Kim Gilman,kim.gilman@outlook.com,EE,9835664337,2002-12-25,Paul Gilman,Nancy Gilman,2022CSE1200,1
Connie Cochran,connie.cochran@gmail.com,EE,9781685304,2008-02-21,Carl Cochran,Jennifer Cochran,2024CSE1201,1
Martha Whyte,martha.whyte@student.edu,CSE,9872159678,2005-10-20,Robert Whyte,Karen Whyte,2022CSE1202,1
Janyce Bagger,janyce.bagger@outlook.com,IT,9823978426,2005-08-13,Larry Bagger,Jennifer Bagger,2020ECE1203,2
Zachary Hickey,zachary.hickey@mail.com,CE,9833091209,2008-06-26,Edward Hickey,Amy Hickey,2020ECE1204,1
Timothy Buerger,timothy.buerger@mail.com,IT,9822562902,2002-06-27,Jason Buerger,Ramona Buerger,2023CSE1205,2
Joy Liff,joy.liff@outlook.com,IT,9821737457,2007-02-09,Randy Liff,Bettye Liff,2023ME1206,2
Christopher Homza,christopher.homza@yahoo.com,CSE,9826350901,2003-03-13,Jimmie Homza,Ruby Homza,2023EE1207,2
Margaret Rosales,margaret.rosales@gmail.com,IT,9809058816,2004-01-05,Francisco Rosales,Sandra Rosales,2021CSE1208,2
Karen Williams,karen.williams@student.edu,CE,9808346055,2001-07-22,Douglas Williams,Jasmine Williams,2021EE1209,1
Lena Cowan,lena.cowan@student.edu,AE,9853969918,2000-01-23,Antonio Cowan,Anne Cowan,2020EE1210,1
Maria Scales,maria.scales@outlook.com,CSE,9869053028,2005-07-02,Pedro Scales,Valerie Scales,2024ECE1211,1
Claude Burrows,claude.burrows@mail.com,CE,9871315809,2001-09-19,Paul Burrows,Judith Burrows,2021CE1212,2
Arthur Wyatt,arthur.wyatt@gmail.com,CSE,9869824631,2003-03-29,Lee Wyatt,Dora Wyatt,2022CE1213,2
Richard Blanco,richard.blanco@outlook.com,IT,9842382177,2003-08-12,Dan Blanco,Patricia Blanco,2020CE1214,2
Carl Crudup,carl.crudup@student.edu,CSE,9870887986,2003-07-27,Timothy Crudup,Lydia Crudup,2023ECE1215,1
Joan Ricley,joan.ricley@student.edu,IT,9814842117,2002-05-31,Edward Ricley,Alexandra Ricley,2021CSE1216,2
Harold Mayo,harold.mayo@gmail.com,CE,9853237197,2003-09-03,Phillip Mayo,Doris Mayo,2020ECE1217,1
Diane Forbes,diane.forbes@outlook.com,EE,9876159568,2004-06-14,Andrew Forbes,Suzanne Forbes,2024ME1218,1
John Elder,john.elder@outlook.com,AE,9852884647,2008-12-03,William Elder,Janice Elder,2024CE1219,2
Kimberly Sullivan,kimberly.sullivan@outlook.com,IT,9873532533,2003-03-25,Donald Sullivan,Angela Sullivan,2022EE1220,2
Megan Greene,megan.greene@student.edu,EE,9800628176,2006-12-21,Daniel Greene,Ellen Greene,2022CE1221,2
