name,email,branch,phoneNo,dob,fatherName,motherName,rollNo,slotNumber
Katina Hightower,katina.hightower@student.edu,ECE,9872468391,2005-05-07,Michael Hightower,Sylvia Hightower,2022CE1026,2
Herbert Firestone,herbert.firestone@gmail.com,EE,9781649658,2005-08-24,William Firestone,Shirley Firestone,2022CSE1027,1
Willie Machado,willie.machado@outlook.com,ECE,9856608829,2001-03-28,Jonathan Machado,Gisela Machado,2021ME1028,1
Sharla Mehling,sharla.mehling@mail.com,CH,9857299337,2001-11-11,Jose Mehling,Linda Mehling,2020ECE1029,2
Carolyn Quinn,carolyn.quinn@student.edu,ECE,9864178964,2002-12-09,James Quinn,Thelma Quinn,2022CSE1030,2
Amy Thomas,amy.thomas@mail.com,EE,9822584186,2008-09-17,David Thomas,Frances Thomas,2023EE1031,1
Sarah Miguel,sarah.miguel@gmail.com,ME,9826237400,2005-06-29,Daniel Miguel,Lois Miguel,2024CE1032,1
Laquita Behan,laquita.behan@outlook.com,IT,9836223018,2002-03-18,Horace Behan,Valerie Behan,2024EE1033,1
Martin Cowan,martin.cowan@outlook.com,CH,9808531429,2000-07-09,Timothy Cowan,Pamela Cowan,2023ECE1034,2
Kenneth Zavala,kenneth.zavala@outlook.com,CH,9802332921,2007-04-03,Wayne Zavala,Angela Zavala,2024ECE1035,1
Ken Kenney,ken.kenney@student.edu,ME,9873077651,2002-01-15,Bryant Kenney,Darlene Kenney,2023ECE1036,2
Sharon Randel,sharon.randel@mail.com,ECE,9795058264,2002-01-26,Kevin Randel,Beverly Randel,2024CSE1037,2
Diane Davila,diane.davila@gmail.com,ME,9854163239,2008-06-04,John Davila,Jennifer Davila,2020ECE1038,2
Kimberly Bell,kimberly.bell@gmail.com,AE,9873105917,2000-11-10,Emil Bell,Michele Bell,2021CE1039,2
Sharon Smith,sharon.smith@yahoo.com,AE,9832351252,2006-10-22,Blake Smith,Nancy Smith,2024ECE1040,2
Mary Hewitt,mary.hewitt@mail.com,AE,9811510244,2003-12-01,Jaime Hewitt,Aileen Hewitt,2021CSE1041,2
Charles Engelhart,charles.engelhart@outlook.com,CSE,9804484485,2007-01-09,Patrick Engelhart,Maria Engelhart,2024ECE1042,1
Claude Marshall,claude.marshall@gmail.com,CE,9858383056,2005-12-03,Charles Marshall,Ida Marshall,2024CSE1043,1
Rebecca Nelson,rebecca.nelson@mail.com,CE,9793638077,2003-07-04,David Nelson,Barbara Nelson,2020ECE1044,2
Anna Jones,anna.jones@gmail.com,AE,9877871206,2008-02-02,Mike Jones,Filomena Jones,2021ECE1045,1
Andreas Torres,andreas.torres@gmail.com,ME,9842105538,2008-04-09,Frank Torres,Sherry Torres,2021CSE1046,2
David Blanchard,david.blanchard@outlook.com,AE,9804185583,2003-12-14,Craig Blanchard,Irma Blanchard,2022EE1047,1
Sara Stricklin,sara.stricklin@outlook.com,IT,9843731121,2001-08-17,Ferdinand Stricklin,Deborah Stricklin,2023CSE1048,1
Judi Livingstone,judi.livingstone@gmail.com,IT,9788816640,2008-04-08,Monte Livingstone,Emily Livingstone,2023EE1049,2
Laura Monsivais,laura.monsivais@outlook.com,CH,9871060100,2003-08-15,Eugene Monsivais,Barbara Monsivais,2023ME1050,1
Jeff Killer,jeff.killer@student.edu,IT,9847080300,2002-10-16,Pete Killer,Christina Killer,2024ECE1051,1
Edward Medley,edward.medley@student.edu,EE,9811905780,2007-04-15,Leonard Medley,Joanne Medley,2021CSE1052,1
Kenneth Hajek,kenneth.hajek@outlook.com,CE,9802528510,2007-04-02,Robert Hajek,Sharon Hajek,2020ME1053,1
Edward Head,edward.head@gmail.com,ME,9849211780,2006-01-22,Marshall Head,Shellie Head,2024EE1054,1
Raymond Chambers,raymond.chambers@outlook.com,CH,9845451739,2002-07-09,William Chambers,Williemae Chambers,2023CSE1055,2
Brenda Carter,brenda.carter@outlook.com,CH,9863210473,2001-05-21,Joseph Carter,Mildred Carter,2024ECE1056,2
James Ruesga,james.ruesga@outlook.com,ME,9810080745,2008-01-21,Jared Ruesga,Michelle Ruesga,2021ECE1057,1
Nancy Caldwell,nancy.caldwell@outlook.com,IT,9873651749,2007-04-21,Mark Caldwell,Louann Caldwell,2022ME1058,2
Gennie Rousseau,gennie.rousseau@outlook.com,CSE,9841973008,2000-03-23,Jason Rousseau,Jeanette Rousseau,2023CSE1059,2
Evan Vanderlip,evan.vanderlip@yahoo.com,ME,9784935824,2008-04-29,Anderson Vanderlip,Bonnie Vanderlip,2023ECE1060,1
Donny Felton,donny.felton@mail.com,CSE,9843938128,2003-09-14,Tim Felton,Lauren Felton,2021CE1061,2
James Roby,james.roby@outlook.com,IT,9820759267,2003-08-09,Kenneth Roby,Irene Roby,2020CSE1062,1
Kelly Harding,kelly.harding@yahoo.com,EE,9861018121,2002-07-11,Clarence Harding,Louise Harding,2023EE1063,2
Delores Lowry,delores.lowry@gmail.com,EE,9838355032,2000-04-12,Ruben Lowry,Dana Lowry,2020CSE1064,2
James Kauffman,james.kauffman@mail.com,IT,9822244150,2008-07-07,George Kauffman,Clara Kauffman,2023ME1065,2
Troy Martinez,troy.martinez@gmail.com,IT,9879320531,2007-03-19,Donald Martinez,Margaret Martinez,2024EE1066,2
Renetta Cooper,renetta.cooper@outlook.com,ECE,9874120718,2007-09-22,Robert Cooper,Rebecca Cooper,2020ECE1067,2
Cody Bash,cody.bash@student.edu,EE,9810639201,2008-06-08,Michael Bash,Grace Bash,2021ECE1068,2
Donald Sanmiguel,donald.sanmiguel@student.edu,ME,9800926052,2001-02-01,Jesse Sanmiguel,Carol Sanmiguel,2024ECE1069,2
Rebecca Carter,rebecca.carter@outlook.com,CH,9828049715,2001-05-25,Christopher Carter,Eva Carter,2021CSE1070,2
Nicholas Tirado,nicholas.tirado@mail.com,CH,9845526635,2004-09-12,Sam Tirado,Margie Tirado,2022ME1071,2
Rick Warner,rick.warner@gmail.com,IT,9867705108,2006-11-29,Andrew Warner,Melissa Warner,2020ECE1072,1
Bruce Hurst,bruce.hurst@gmail.com,EE,9859125290,2002-03-20,Matthew Hurst,Lauren Hurst,2022CE1073,2
Alberta Mendez,alberta.mendez@student.edu,CE,9834036915,2004-10-31,Willard Mendez,Betty Mendez,2024ME1074,2
John Modlin,john.modlin@student.edu,ECE,9876192606,2000-08-30,Timothy Modlin,Rebecca Modlin,2021EE1075,2
Mary Scales,mary.scales@gmail.com,CSE,9874097442,2008-10-09,Gerald Scales,Dolores Scales,2021ECE1076,1
Richard Sharkey,richard.sharkey@yahoo.com,IT,9802715016,2003-07-26,Robert Sharkey,Helen Sharkey,2022ECE1077,1
Mary Myers,mary.myers@gmail.com,ECE,9815268296,2006-10-20,Robert Myers,Nikki Myers,2022CE1078,2
Sharon Chiodi,sharon.chiodi@mail.com,AE,9817040640,2003-10-09,Brian Chiodi,Patricia Chiodi,2023CSE1079,2
Linda Brooks,linda.brooks@yahoo.com,ME,9812945824,2002-11-30,Michael Brooks,Pearl Brooks,2022ECE1080,1
George Flinn,george.flinn@outlook.com,IT,9782939079,2003-02-17,James Flinn,Jennifer Flinn,2024CSE1081,1
Yukiko Schmitz,yukiko.schmitz@gmail.com,CSE,9837783536,2000-01-22,Sean Schmitz,Flora Schmitz,2023CE1082,1
Harold Crisafi,harold.crisafi@outlook.com,IT,9876946051,2000-07-21,Ronald Crisafi,Shannon Crisafi,2022CSE1083,1
Werner Loudermilk,werner.loudermilk@gmail.com,CE,9879781263,2003-03-19,Bernard Loudermilk,Cynthia Loudermilk,2023EE1084,2
Lucille Hackney,lucille.hackney@gmail.com,ME,9823481413,2008-10-28,Jeremy Hackney,Mary Hackney,2022CE1085,2
Bonita Delacruz,bonita.delacruz@yahoo.com,CSE,9846493022,2007-08-16,George Delacruz,Stephanie Delacruz,2021ECE1086,1
Sharon Davis,sharon.davis@outlook.com,EE,9831851980,2007-05-09,Brian Davis,Mae Davis,2024EE1087,2
Sarah Nunnery,sarah.nunnery@mail.com,CSE,9818623892,2006-02-19,John Nunnery,Joy Nunnery,2021EE1088,1
Scott Stoddard,scott.stoddard@outlook.com,IT,9831286066,2001-08-29,Domingo Stoddard,Mary Stoddard,2021EE1089,2
Maria Beach,maria.beach@mail.com,CSE,9841144061,2000-10-22,Jose Beach,Eileen Beach,2022EE1090,1
Virginia Harris,virginia.harris@outlook.com,AE,9819981427,2004-03-11,Jose Harris,Judy Harris,2022CSE1091,2
Emily Echols,emily.echols@outlook.com,CE,9842004666,2008-09-11,William Echols,April Echols,2023EE1092,1
Marcy Currie,marcy.currie@gmail.com,CSE,9792079892,2002-03-20,Jason Currie,Tori Currie,2020EE1093,1
Pedro Welch,pedro.welch@gmail.com,CH,9861020791,2001-01-18,Steve Welch,Lucille Welch,2021ME1094,1
Marlene Aston,marlene.aston@student.edu,CSE,9836541785,2005-01-01,Caleb Aston,Mary Aston,2020CE1095,1
James Bynum,james.bynum@yahoo.com,AE,9878378116,2008-09-08,Frank Bynum,Cynthia Bynum,2024EE1096,1
Frances Santiago,frances.santiago@gmail.com,CSE,9797706235,2001-03-14,Michael Santiago,Sherry Santiago,2024ME1097,1
Virginia Wagner,virginia.wagner@gmail.com,ECE,9874844668,2003-03-16,James Wagner,Cara Wagner,2022ECE1098,2
Diane Doolittle,diane.doolittle@student.edu,IT,9811812275,2003-02-18,Richard Doolittle,Vergie Doolittle,2021ECE1099,1
Barbara Willis,barbara.willis@mail.com,ME,9789282968,2000-06-05,Mark Willis,Henrietta Willis,2023ECE1100,1
Anthony Jones,anthony.jones@student.edu,ME,9864151198,2008-01-21,Guadalupe Jones,Michelle Jones,2021ME1101,2
Kevin Kahalehoe,kevin.kahalehoe@student.edu,ME,9810391578,2002-12-10,Carl Kahalehoe,Sandra Kahalehoe,2023ECE1102,1
Joyce Dean,joyce.dean@yahoo.com,IT,9799714150,2005-02-16,Orlando Dean,Joanne Dean,2020EE1103,2
Aurore Dallas,aurore.dallas@student.edu,ME,9848558820,2007-04-27,Sol Dallas,Kelly Dallas,2021ME1104,1
William Weston,william.weston@gmail.com,AE,9817474572,2004-02-18,Jesse Weston,Therese Weston,2024ME1105,1
Gloria Warren,gloria.warren@student.edu,CH,9868802623,2004-11-28,Jeffrey Warren,Julie Warren,2024ECE1106,2
Kali Colley,kali.colley@outlook.com,EE,9801291557,2000-02-22,Jack Colley,Peggy Colley,2020EE1107,1
Virginia Perrella,virginia.perrella@student.edu,CE,9780675284,2001-05-08,Steven Perrella,Barbara Perrella,2020CE1108,2
Claire Evans,claire.evans@mail.com,CE,9793269669,2005-07-15,Terry Evans,Lou Evans,2020ECE1109,2
Frances Granger,frances.granger@yahoo.com,CE,9834409449,2000-03-29,Robert Granger,Hazel Granger,2021EE1110,2
Adam Cramer,adam.cramer@yahoo.com,ME,9815552339,2004-07-21,Leonard Cramer,Michelle Cramer,2023ECE1111,1
Rudolph Reed,rudolph.reed@mail.com,AE,9809176945,2005-12-05,Charles Reed,Susan Reed,2023CSE1112,1
Alberto Murphy,alberto.murphy@yahoo.com,EE,9792885388,2007-08-15,Robert Murphy,Diana Murphy,2023ECE1113,2
Troy Lastra,troy.lastra@yahoo.com,CSE,9826171200,2002-01-01,Harry Lastra,Ruthe Lastra,2024EE1114,2
Samuel Barrows,samuel.barrows@gmail.com,CSE,9863113687,2003-07-31,James Barrows,Carolyn Barrows,2020ME1115,2
Mary Erekson,mary.erekson@outlook.com,EE,9840263203,2005-08-17,Steven Erekson,Lori Erekson,2022CE1116,1
Gordon Aguilar,gordon.aguilar@mail.com,ME,9838984530,2007-07-13,Earl Aguilar,Jessica Aguilar,2020CE1117,2
Janice Hamilton,janice.hamilton@gmail.com,AE,9833941693,2004-02-06,Steven Hamilton,Rebecca Hamilton,2022CSE1118,1
Inez Vogel,inez.vogel@outlook.com,CH,9815568160,2007-10-19,James Vogel,Darby Vogel,2020ECE1119,1
Hazel Thomas,hazel.thomas@yahoo.com,ECE,9869434404,2008-09-25,Christopher Thomas,Anne Thomas,2021EE1120,2
William Engler,william.engler@yahoo.com,ME,9827721732,2002-04-16,Gary Engler,Loretta Engler,2021EE1121,2
Annette Poblete,annette.poblete@student.edu,CE,9834969080,2007-10-21,John Poblete,Rita Poblete,2024EE1122,1
Fay Birdsong,fay.birdsong@outlook.com,IT,9845801293,2002-09-27,James Birdsong,Lillian Birdsong,2023ME1123,2
Harrison Braun,harrison.braun@gmail.com,CSE,9812633555,2006-11-14,David Braun,Ruth Braun,2022CSE1124,1
Barbara Baker,barbara.baker@mail.com,ME,9840367316,2006-06-25,John Baker,Anna Baker,2022ECE1125,2
Matilda Mcmillian,matilda.mcmillian@mail.com,CH,9818665086,2001-07-17,Joseph Mcmillian,Barbara Mcmillian,2024ME1126,2
Toby Flury,toby.flury@mail.com,CSE,9872137821,2006-02-21,Virgil Flury,Kristie Flury,2023ECE1127,1
Ken Thompson,ken.thompson@student.edu,CSE,9870774832,2005-07-17,Benjamin Thompson,Angela Thompson,2024EE1128,2
Chantel Rice,chantel.rice@yahoo.com,CE,9836309745,2004-01-10,Jeffrey Rice,Ida Rice,2023CE1129,2
Barbara Jones,barbara.jones@gmail.com,ME,9782347575,2008-09-01,Tracy Jones,Elaine Jones,2024CSE1130,2
Daniel Fleck,daniel.fleck@mail.com,EE,9836547775,2000-07-14,Daniel Fleck,Alicia Fleck,2020ECE1131,1
Thomas Scianna,thomas.scianna@gmail.com,ME,9821884346,2000-08-18,Danny Scianna,Heather Scianna,2021CE1132,2
Jean Marquez,jean.marquez@student.edu,IT,9782957793,2000-07-03,Arthur Marquez,Sandra Marquez,2024ME1133,1
Frank Peterson,frank.peterson@yahoo.com,AE,9827046036,2004-11-12,Roger Peterson,Nina Peterson,2020CE1134,2
Ellen Mckenzie,ellen.mckenzie@outlook.com,EE,9834963510,2008-03-05,Robert Mckenzie,Frances Mckenzie,2023ME1135,1
Jennifer Brooks,jennifer.brooks@yahoo.com,IT,9810799378,2008-05-17,Kevin Brooks,Beulah Brooks,2021EE1136,1
Lisa Frey,lisa.frey@student.edu,CSE,9846387403,2000-08-12,Daniel Frey,Brenda Frey,2023CE1137,1
Eileen Hamilton,eileen.hamilton@mail.com,AE,9800164243,2001-11-07,Jim Hamilton,Christine Hamilton,2021CSE1138,1
Carol Velasco,carol.velasco@mail.com,AE,9828558918,2003-02-01,Stefan Velasco,Mary Velasco,2024CE1139,2
Andrea Vu,andrea.vu@gmail.com,CSE,9866894025,2004-05-31,Tom Vu,Betty Vu,2020CE1140,2
Mary Williams,mary.williams@yahoo.com,CE,9822608863,2000-12-26,Cecil Williams,Debra Williams,2020ECE1141,2
Tommy Carter,tommy.carter@gmail.com,CH,9827068398,2001-01-10,Steven Carter,Emily Carter,2023ECE1142,2
Michael Johnson,michael.johnson@student.edu,EE,9797273514,2001-10-23,Mario Johnson,Patricia Johnson,2023ECE1143,2
Cynthia Digiovanni,cynthia.digiovanni@mail.com,CH,9841421038,2000-08-20,John Digiovanni,Aurelia Digiovanni,2020ME1144,1
George Barth,george.barth@student.edu,IT,9842003524,2003-10-18,John Barth,Mary Barth,2023ME1145,2
Debra Litten,debra.litten@student.edu,CE,9863137654,2003-01-06,John Litten,Carolyn Litten,2024CSE1146,2
Kelly Hawes,kelly.hawes@outlook.com,IT,9849067630,2003-05-21,Charles Hawes,Mary Hawes,2020CE1147,2
Elizabeth Gonzales,elizabeth.gonzales@mail.com,ECE,9853067212,2006-12-29,Robert Gonzales,Claudia Gonzales,2023CE1148,2
Raul Digiacomo,raul.digiacomo@mail.com,AE,9808505952,2005-09-20,William Digiacomo,Helen Digiacomo,2021ECE1149,2
Wanda Williams,wanda.williams@yahoo.com,EE,9816315644,2001-05-17,Alfonso Williams,Yvonne Williams,2021EE1150,1
Richard Jock,richard.jock@gmail.com,ECE,9822071467,2006-05-12,Tommy Jock,Alice Jock,2020ECE1151,2
Humberto Fitzhugh,humberto.fitzhugh@outlook.com,AE,9825021630,2001-05-13,Ernest Fitzhugh,Traci Fitzhugh,2021ME1152,1
Edward Neang,edward.neang@student.edu,CSE,9847277476,2008-02-19,Edward Neang,Hazel Neang,2022ME1153,2
Cynthia Brown,cynthia.brown@yahoo.com,CSE,9824585197,2005-08-05,Daniel Brown,Linda Brown,2020CE1154,2
Gary Scott,gary.scott@gmail.com,ECE,9843564604,2003-07-16,Charles Scott,Rene Scott,2024CE1155,2
Michael Nitz,michael.nitz@outlook.com,CE,9828282163,2001-07-06,Luis Nitz,Becky Nitz,2020CE1156,1
Jeremy Camus,jeremy.camus@mail.com,AE,9879398992,2005-05-06,Michael Camus,Chandra Camus,2021ME1157,1
Rebecca Peeler,rebecca.peeler@outlook.com,ECE,9823241481,2007-04-13,John Peeler,Joyce Peeler,2023ME1158,2
Eleanor Swinford,eleanor.swinford@outlook.com,CSE,9789651776,2002-12-11,James Swinford,June Swinford,2024ECE1159,1
Margaret Harris,margaret.harris@outlook.com,EE,9854730525,2007-08-05,James Harris,Lois Harris,2023EE1160,1
Sherry Benton,sherry.benton@outlook.com,CE,9847880670,2003-05-05,Michael Benton,Jean Benton,2022ME1161,1
Roger Blumhardt,roger.blumhardt@student.edu,CE,9786241526,2004-06-03,John Blumhardt,Minerva Blumhardt,2024CE1162,2
Paul Detweiler,paul.detweiler@yahoo.com,ECE,9822732346,2008-06-25,Thurman Detweiler,Debbie Detweiler,2024ECE1163,1
Glenn Hill,glenn.hill@gmail.com,EE,9823171714,2000-07-13,Steven Hill,Lola Hill,2024CSE1164,1
Gretchen Vergin,gretchen.vergin@outlook.com,ME,9853901440,2000-06-27,Jeffery Vergin,Lois Vergin,2021CSE1165,2
Dana Ebersole,dana.ebersole@outlook.com,CE,9839779332,2007-11-08,Thomas Ebersole,Doris Ebersole,2022EE1166,1
Aaron Sheridan,aaron.sheridan@gmail.com,CH,9798343075,2002-05-26,Marcus Sheridan,Leslie Sheridan,2021CSE1167,2
Gail Burruss,gail.burruss@student.edu,IT,9864317046,2002-04-05,Brett Burruss,Paul Burruss,2024CE1168,2
Michele Conrad,michele.conrad@mail.com,IT,9874558562,2002-10-31,Marlin Conrad,Shawna Conrad,2021CE1169,1
Denise Sorenson,denise.sorenson@outlook.com,CE,9870669586,2006-02-16,Damian Sorenson,Lauren Sorenson,2021ECE1170,1
Carol Franks,carol.franks@mail.com,EE,9859967828,2004-10-19,Robert Franks,Susan Franks,2024CSE1171,1
Ralph Jenkins,ralph.jenkins@yahoo.com,AE,9832245238,2006-06-10,Evan Jenkins,Kimberly Jenkins,2020CE1172,2
Deborah Martin,deborah.martin@mail.com,CSE,9833289934,2000-12-26,Ronald Martin,Melissa Martin,2023ME1173,1
Kenneth Woolfrey,kenneth.woolfrey@mail.com,CSE,9823330479,2002-03-22,Paul Woolfrey,Angla Woolfrey,2024ME1174,1
Dionne Bigelow,dionne.bigelow@outlook.com,IT,9789698876,2007-08-27,Gene Bigelow,Randy Bigelow,2023ME1175,1
Donald Espada,donald.espada@outlook.com,AE,9863828270,2005-01-25,Daren Espada,Deann Espada,2022ECE1176,1
Lawrence Johnson,lawrence.johnson@yahoo.com,IT,9824227241,2004-07-31,Robert Johnson,Ruby Johnson,2021ME1177,2
David Steelman,david.steelman@student.edu,CE,9873095407,2006-06-27,Sam Steelman,Eugenia Steelman,2020ME1178,1
Joseph Nagel,joseph.nagel@student.edu,ME,9825115105,2008-08-13,Phillip Nagel,Kathleen Nagel,2022ME1179,2
Ethel Muldrow,ethel.muldrow@mail.com,IT,9839659463,2005-03-23,Nicholas Muldrow,Claudia Muldrow,2024EE1180,2
Devon Cornett,devon.cornett@mail.com,EE,9870784009,2007-12-05,Christopher Cornett,Brandy Cornett,2020EE1181,1
Christian Smith,christian.smith@gmail.com,ECE,9875233513,2002-08-23,Henry Smith,Jane Smith,2024ECE1182,2
Ryan Dyer,ryan.dyer@gmail.com,ECE,9867138007,2003-05-13,Jeffrey Dyer,Shalonda Dyer,2023CE1183,1
Veronica Miller,veronica.miller@mail.com,IT,9791510525,2007-12-07,Mike Miller,Elvie Miller,2024ME1184,1
Margaret Pearson,margaret.pearson@student.edu,ECE,9787926520,2005-04-01,John Pearson,Margie Pearson,2024CSE1185,1
Frank Carella,frank.carella@gmail.com,CH,9829675863,2007-03-01,Jimmy Carella,Janice Carella,2021CSE1186,1
Herman Catlin,herman.catlin@student.edu,ME,9797963479,2004-05-21,John Catlin,Debbie Catlin,2023CSE1187,2
Karen Mote,karen.mote@student.edu,ECE,9827010009,2003-12-16,Jason Mote,Betty Mote,2023EE1188,2
Bill Anderson,bill.anderson@yahoo.com,CSE,9789957970,2000-03-26,Oscar Anderson,Daisy Anderson,2024CSE1189,2
Keith Becker,keith.becker@yahoo.com,EE,9838930753,2001-04-09,Ignacio Becker,Mercedes Becker,2021CSE1190,1
Carol Grady,carol.grady@outlook.com,CH,9839309092,2000-07-11,Joshua Grady,Georgina Grady,2024EE1191,1
Beverly Hartmann,beverly.hartmann@mail.com,ME,9833843036,2003-02-22,Raymond Hartmann,Kathy Hartmann,2022ECE1192,2
Alton Wisener,alton.wisener@gmail.com,AE,9811377536,2002-01-25,Timothy Wisener,Yuk Wisener,2020CSE1193,1
James Franklin,james.franklin@mail.com,CSE,9782419747,2003-05-27,William Franklin,Drucilla Franklin,2023ECE1194,1
Anthony Smith,anthony.smith@mail.com,IT,9832611819,2001-10-01,Aaron Smith,Josefa Smith,2020EE1195,1
Kimberly Quitugua,kimberly.quitugua@yahoo.com,IT,9874768228,2001-02-02,Donald Quitugua,Sheryl Quitugua,2023ME1196,2
Victoria Weaver,victoria.weaver@yahoo.com,AE,9830064902,2004-09-18,Shane Weaver,Melissa Weaver,2023CE1197,2
Adam Dopler,adam.dopler@yahoo.com,CH,9788640216,2003-01-15,Carlos Dopler,Deborah Dopler,2021ECE1198,1
Michael Moore,michael.moore@gmail.com,AE,9862330530,2001-03-06,Bradley Moore,Maria Moore,2020EE1199,1
Priscilla Lovell,priscilla.lovell@outlook.com,CE,9781503192,2000-03-20,Robert Lovell,Sarah Lovell,2022ECE1200,1
Karen Jennings,karen.jennings@mail.com,AE,9810347238,2002-10-11,Sterling Jennings,Maria Jennings,2021CE1201,1
Thomas Robertson,thomas.robertson@outlook.com,CSE,9865848016,2008-01-15,Darrell Robertson,Isabel Robertson,2024ECE1202,1
Gerald Young,gerald.young@yahoo.com,AE,9864833916,2005-04-18,George Young,Katie Young,2023CE1203,1
Erica Soucier,erica.soucier@outlook.com,IT,9812322104,2003-10-02,David Soucier,Kathy Soucier,2021CSE1204,1
Linda Bland,linda.bland@yahoo.com,ME,9826716670,2003-01-07,Brandon Bland,Sonya Bland,2024ECE1205,1
Angela Shaffer,angela.shaffer@student.edu,CE,9793777599,2006-04-26,John Shaffer,Rena Shaffer,2020ECE1206,1
Sheryl Lemanski,sheryl.lemanski@mail.com,AE,9865495403,2008-06-28,Daniel Lemanski,Mary Lemanski,2022CSE1207,2
Nathaniel Whitacre,nathaniel.whitacre@yahoo.com,CE,9787271147,2001-07-11,Lee Whitacre,Maria Whitacre,2024CE1208,1
Jerry Greene,jerry.greene@student.edu,IT,9787814575,2006-02-01,Samuel Greene,Tracy Greene,2023CE1209,1
Traci Green,traci.green@yahoo.com,CSE,9788289438,2004-02-23,Pat Green,Martha Green,2021ME1210,2
Kyle Allen,kyle.allen@yahoo.com,EE,9860256146,2003-06-23,Mark Allen,Esther Allen,2022ME1211,1
Alberto Medeiros,alberto.medeiros@yahoo.com,AE,9818352372,2004-08-08,Kevin Medeiros,Veronica Medeiros,2020CE1212,1
Frances Jennings,frances.jennings@outlook.com,CSE,9820701764,2005-11-13,Daniel Jennings,Gladys Jennings,2022CSE1213,1
Sean Luker,sean.luker@yahoo.com,IT,9813651567,2001-10-27,Wesley Luker,Rosemary Luker,2020CE1214,2
Arnold Mcdaniel,arnold.mcdaniel@student.edu,CSE,9855373718,2001-03-30,Michael Mcdaniel,Victoria Mcdaniel,2024EE1215,2
Debra Davis,debra.davis@student.edu,CE,9879438337,2004-04-02,Michael Davis,Leslie Davis,2020ECE1216,1
Leroy Christo,leroy.christo@student.edu,ECE,9837713717,2001-03-04,John Christo,Maria Christo,2020ME1217,2
Anna Mccants,anna.mccants@student.edu,ECE,9785331227,2004-07-16,Clayton Mccants,Pauline Mccants,2023EE1218,1
Stephanie Layman,stephanie.layman@yahoo.com,CE,9808655506,2001-03-13,Oliver Layman,Lisette Layman,2024CE1219,2
Laverne Moons,laverne.moons@yahoo.com,CSE,9873791813,2007-12-06,Omar Moons,April Moons,2020CSE1220,1
